Year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
137,"4,792.00","6,566.27","8,997.47","12,204.28","16,447.38","22,144.16","29,606.02","39,123.64","50,210.37","59,959.19","70,903.21","76,418.91","84,377.87","89,294.42","93,026.81","94,136.05","92,883.79","92,766.41","91,128.81","91,978.41","91,188.35","92,402.18","88,297.27","87,142.88","83,308.00","81,465.89","81,357.68","80,235.83","79,717.48","77,289.09","78,634.00"
138,"4,792.00","6,564.57","8,992.81","12,224.65","16,576.04","22,385.49","29,999.46","39,273.62","50,641.20","59,842.95","68,905.33","76,536.54","82,541.42","89,388.68","91,941.44","95,242.52","95,628.91","97,313.83","93,296.39","93,037.96","90,374.85","90,342.84","90,807.10","91,561.43","88,232.08","86,664.95","85,691.00","82,499.18","83,543.07","82,176.30","80,714.33"
139,"4,792.00","6,568.67","9,004.06","12,271.31","16,663.91","22,256.61","29,487.56","37,773.25","47,416.35","55,626.89","64,456.07","69,957.05","74,759.99","76,621.46","80,580.61","81,602.06","86,001.14","86,805.37","90,559.57","89,794.54","87,816.25","87,709.11","86,834.94","88,285.79","91,400.27","93,389.64","95,053.72","94,628.22","95,290.55","93,282.85","92,255.54"
140,"4,792.00","6,559.90","8,980.04","12,197.42","16,443.74","22,148.93","29,216.35","38,004.40","46,464.75","55,973.23","64,776.43","72,287.90","77,654.52","82,238.21","82,877.42","84,729.54","84,538.95","84,303.74","85,669.38","85,209.89","86,072.55","83,705.01","82,828.28","79,741.21","79,713.31","77,959.30","78,029.88","75,985.37","74,823.50","76,195.72","74,940.54"
141,"4,792.00","6,554.30","8,964.69","12,231.78","16,593.07","22,178.26","29,535.78","38,178.62","47,981.69","57,444.56","65,377.86","71,071.62","74,147.89","77,464.80","78,091.13","81,926.01","83,477.08","85,797.74","84,158.79","85,767.81","84,866.36","85,458.70","83,636.93","81,952.94","79,693.28","76,837.87","78,693.51","75,966.61","76,693.50","77,081.81","75,666.78"
142,"4,792.00","6,548.52","8,948.90","12,219.81","16,602.05","22,374.62","29,974.64","38,937.38","50,161.29","60,403.46","71,293.29","81,565.96","86,845.66","92,029.68","93,292.17","95,004.49","93,725.59","90,513.67","89,531.44","85,554.73","86,696.33","85,473.67","87,066.62","88,045.07","86,557.98","84,280.53","83,816.61","81,787.21","80,175.39","81,115.43","79,678.37"
143,"4,792.00","6,539.99","8,925.60","12,147.81","16,513.89","22,304.19","29,843.43","39,547.91","50,689.89","61,654.89","71,314.45","79,422.02","82,522.56","87,589.48","86,193.25","84,931.93","83,047.85","80,931.36","79,932.64","80,823.32","81,841.81","82,501.36","83,044.25","82,671.15","84,036.47","83,773.48","82,966.15","82,538.75","81,003.98","82,433.96","83,017.66"
144,"4,792.00","6,567.33","9,000.39","12,300.37","16,627.84","22,294.64","29,375.75","38,521.82","47,970.54","58,461.37","69,355.87","78,614.06","84,135.05","89,520.26","91,397.24","92,066.00","89,671.85","87,610.62","84,493.57","81,057.75","80,174.82","78,394.18","77,491.56","79,449.17","79,498.88","83,167.60","84,534.62","87,107.29","86,828.22","87,614.73","87,734.72"
145,"4,792.00","6,554.40","8,964.96","12,227.58","16,522.11","22,127.60","29,587.25","38,371.62","48,562.88","58,143.42","65,873.59","72,039.99","77,327.39","79,144.82","83,642.49","83,856.27","87,960.57","87,773.67","88,950.98","89,111.45","88,547.27","90,410.04","88,647.33","88,313.04","85,238.08","84,627.91","84,526.45","86,228.65","85,347.12","84,222.11","80,780.31"
146,"4,792.00","6,557.12","8,972.41","12,184.83","16,466.73","22,255.65","29,840.91","39,370.55","50,168.16","60,783.55","68,263.54","73,940.69","76,409.05","77,666.49","78,931.39","79,868.36","80,346.31","81,836.99","80,782.15","83,501.04","81,015.58","80,511.33","79,387.04","78,761.24","78,649.14","81,270.55","83,004.99","82,626.52","86,034.98","86,291.95","85,142.76"
147,"4,792.00","6,572.17","9,013.65","12,224.99","16,579.44","22,109.04","29,638.32","38,553.78","50,106.21","61,141.74","70,143.18","77,261.01","79,559.69","84,868.28","86,414.73","90,021.63","88,825.37","87,239.26","85,988.74","84,532.49","85,134.04","84,813.74","85,982.33","85,737.49","83,998.69","83,630.13","81,859.88","82,970.36","82,515.49","85,873.08","85,423.18"
148,"4,792.00","6,551.19","8,956.20","12,241.53","16,623.86","22,162.27","29,566.43","37,821.89","47,811.56","57,270.48","65,191.20","71,876.31","74,934.91","78,453.87","81,500.47","81,309.28","84,715.37","82,789.76","81,054.07","81,390.65","80,328.57","82,557.01","85,112.40","86,868.56","87,029.32","86,285.39","83,933.32","84,499.00","84,314.14","85,152.49","83,261.39"
149,"4,792.00","6,566.11","8,997.04","12,232.41","16,638.34","22,344.35","29,443.72","38,544.46","46,950.19","56,683.55","64,922.86","71,095.35","78,475.02","82,504.37","87,030.90","90,208.23","89,316.58","90,754.57","88,902.26","88,751.08","89,754.39","88,069.25","90,327.81","91,187.66","92,082.77","93,090.20","93,604.21","94,327.01","95,144.33","94,314.57","93,981.01"
150,"4,792.00","6,567.29","9,000.28","12,270.81","16,605.89","22,262.13","29,530.38","38,485.86","48,404.37","57,144.80","67,692.08","74,062.20","82,815.17","84,531.89","88,093.05","88,048.20","88,536.69","90,868.16","89,318.28","92,035.88","91,343.28","89,498.74","90,680.54","87,516.75","86,923.04","87,693.33","86,287.91","84,970.14","81,847.24","80,633.18","77,065.25"
151,"4,792.00","6,563.36","8,989.50","12,264.67","16,509.29","22,185.14","29,237.48","38,355.26","47,885.45","58,521.76","68,548.34","77,014.39","83,475.46","86,773.00","86,696.61","88,504.41","87,504.00","88,302.93","88,408.65","88,648.04","87,229.84","87,951.78","88,143.26","89,836.26","90,832.00","89,058.53","87,904.06","84,765.33","85,128.33","85,905.42","86,556.23"
152,"4,792.00","6,552.94","8,960.97","12,178.26","16,552.22","22,308.50","29,427.24","38,653.21","47,122.17","56,086.83","64,217.81","71,283.27","78,577.97","85,483.29","87,370.38","89,406.71","90,403.06","90,710.69","90,748.73","92,911.62","93,290.48","94,804.10","96,118.01","92,489.52","93,206.04","91,113.85","92,234.12","92,699.27","93,817.91","92,041.61","93,266.09"
153,"4,792.00","6,568.55","9,003.71","12,275.11","16,631.79","22,214.12","29,297.35","37,716.30","47,203.53","56,781.70","67,256.93","76,582.18","82,814.33","87,987.23","91,224.44","93,002.13","94,316.66","92,954.70","93,788.10","93,226.71","92,224.97","93,570.92","92,210.69","91,400.86","91,406.98","88,756.84","89,992.43","86,113.97","87,963.59","87,887.91","88,994.65"
154,"4,792.00","6,556.43","8,970.53","12,193.62","16,572.44","22,259.92","29,450.37","38,593.64","47,827.06","56,495.74","64,807.75","72,015.43","79,134.32","86,103.72","90,411.80","92,136.32","90,698.61","87,768.00","85,720.40","83,424.13","81,323.28","79,826.18","79,017.36","80,258.48","82,319.16","84,856.67","85,515.56","84,984.48","85,481.11","82,048.56","83,180.86"
155,"4,792.00","6,555.75","8,968.68","12,222.96","16,461.16","22,063.62","29,435.04","38,770.58","48,945.54","60,791.53","68,311.52","74,521.74","79,066.06","80,709.01","84,749.31","84,830.56","85,540.16","85,828.99","86,038.36","86,019.84","88,175.60","88,816.79","90,296.81","89,433.06","90,475.91","88,387.21","89,381.01","88,249.69","86,419.82","87,587.41","86,213.93"
156,"4,792.00","6,544.95","8,939.15","12,156.76","16,411.70","22,078.48","29,581.83","39,016.34","49,386.11","60,549.96","68,607.86","76,865.95","80,356.79","83,113.47","84,787.93","86,045.62","87,721.75","89,640.45","91,370.80","93,886.55","95,626.66","93,210.31","89,435.59","87,329.92","83,927.42","85,327.84","86,475.02","86,245.77","88,712.38","89,633.45","90,221.27"
157,"4,792.00","6,571.67","9,012.27","12,311.89","16,731.61","22,518.00","29,800.82","39,486.12","49,269.41","60,720.23","70,150.71","76,881.61","81,834.93","84,505.92","84,431.92","85,615.17","84,090.21","85,400.33","86,009.50","88,318.28","90,671.04","89,519.62","87,801.48","87,607.04","86,915.76","86,718.59","86,429.11","86,303.71","86,409.39","88,383.73","89,882.93"
158,"4,792.00","6,556.27","8,970.09","12,218.29","16,518.90","22,045.49","29,044.62","37,781.30","47,342.06","58,871.23","70,491.35","80,594.15","89,340.37","93,267.85","96,598.16","96,052.99","96,741.98","95,763.10","94,788.36","90,160.36","87,981.45","83,623.01","83,424.11","81,296.67","81,689.32","82,917.09","81,006.69","81,780.16","78,804.95","77,223.65","74,468.00"
159,"4,792.00","6,537.73","8,919.43","12,118.64","16,414.43","21,897.73","28,942.66","37,198.41","46,901.70","57,143.38","67,628.85","77,408.97","84,102.36","88,694.08","92,249.08","93,967.02","95,261.00","95,963.18","92,983.22","91,283.90","85,702.49","83,083.54","80,950.95","81,978.11","81,384.19","85,028.22","82,635.32","82,421.10","82,918.74","81,072.28","82,602.28"
160,"4,792.00","6,566.92","8,999.25","12,285.60","16,712.28","22,475.59","29,941.24","39,456.09","50,462.64","60,063.85","71,289.46","75,860.20","80,048.47","82,496.83","80,697.96","83,349.69","82,843.29","82,398.83","83,962.66","81,794.81","81,538.34","82,434.84","83,779.59","87,344.15","90,610.86","91,480.63","90,012.71","87,046.34","84,389.09","80,379.02","78,760.68"
161,"4,792.00","6,572.93","9,015.73","12,225.46","16,560.03","22,248.75","29,580.38","39,102.44","48,704.70","59,140.31","67,649.42","75,893.08","80,718.09","83,245.60","83,549.92","80,441.60","82,162.84","81,742.06","83,241.02","84,756.79","85,269.79","83,686.61","84,882.37","81,007.40","83,379.33","82,438.83","82,787.70","85,058.86","82,974.38","83,614.83","84,606.64"
162,"4,792.00","6,560.03","8,980.38","12,185.19","16,452.97","22,100.05","29,150.34","37,762.43","47,262.63","55,907.01","66,226.90","73,915.29","81,546.07","87,372.30","92,636.50","95,857.18","96,615.53","95,735.28","93,335.35","88,841.86","87,080.06","84,595.96","85,067.48","84,578.08","82,784.65","83,882.65","81,768.86","84,679.11","82,163.19","84,842.33","83,761.34"
163,"4,792.00","6,567.33","9,000.39","12,283.98","16,632.54","22,201.14","29,513.05","37,975.08","47,633.47","56,946.00","66,316.51","74,195.66","82,386.09","87,776.79","92,584.49","92,224.32","91,698.51","91,349.62","89,201.83","87,574.36","86,537.45","86,534.84","86,100.18","85,358.04","86,291.97","85,983.80","85,211.13","86,939.48","84,769.21","82,466.60","81,987.79"
164,"4,792.00","6,573.53","9,017.37","12,284.92","16,692.53","22,333.84","29,898.29","39,065.13","49,364.46","60,414.12","68,661.36","74,479.54","77,703.03","80,024.23","79,894.63","80,153.79","80,263.51","79,986.54","82,207.27","84,873.63","87,468.79","89,977.99","90,676.05","87,786.51","88,350.85","85,402.48","86,805.85","87,505.10","87,505.50","88,139.06","84,718.09"
165,"4,792.00","6,560.98","8,983.00","12,259.65","16,548.86","22,091.02","29,580.16","37,707.10","48,703.84","57,848.39","67,259.27","76,124.07","82,593.07","88,829.34","91,659.36","92,859.99","89,336.04","89,220.76","88,073.39","85,649.05","84,240.48","80,018.05","76,563.74","75,837.44","74,888.53","77,002.30","77,142.89","78,958.01","79,717.02","78,944.54","80,264.78"
166,"4,792.00","6,573.34","9,016.86","12,305.55","16,707.69","22,300.01","29,548.60","38,482.55","48,469.82","58,518.13","67,829.86","74,312.81","76,976.30","82,327.14","83,403.53","86,977.57","86,260.86","88,331.60","87,778.34","88,895.91","88,420.48","89,845.90","86,815.05","86,891.05","83,864.92","81,301.89","81,680.69","81,530.35","84,720.12","84,154.47","87,203.53"
167,"4,792.00","6,554.00","8,963.89","12,213.20","16,605.55","22,191.48","29,710.66","38,657.20","48,673.21","60,181.30","66,957.74","75,982.17","80,867.59","86,013.79","89,208.36","92,635.76","95,011.31","97,266.38","97,672.08","96,061.22","94,517.33","93,076.48","93,339.22","90,547.93","87,501.04","86,465.14","83,377.67","84,095.94","84,712.30","85,180.92","85,995.65"
168,"4,792.00","6,553.18","8,961.63","12,153.58","16,386.27","22,043.24","29,112.40","38,098.64","46,884.66","56,157.04","63,561.73","70,970.79","77,371.93","79,590.12","83,866.90","83,139.54","86,069.64","87,241.09","90,193.51","90,750.82","91,779.87","91,835.41","92,829.53","91,500.72","92,159.96","87,719.27","87,416.28","82,853.55","81,335.67","81,498.28","79,597.38"
169,"4,792.00","6,550.09","8,953.18","12,208.27","16,479.36","22,049.56","29,400.93","38,201.89","48,834.68","58,828.70","68,511.63","74,714.69","78,605.00","81,058.64","81,669.97","84,703.67","85,681.27","88,617.34","90,185.92","91,007.71","90,701.72","88,367.92","85,195.79","83,115.33","81,817.09","82,044.65","83,441.87","83,871.63","84,528.88","83,979.67","81,583.38"
170,"4,792.00","6,570.94","9,010.29","12,272.72","16,613.89","22,396.64","30,014.37","39,677.65","51,382.20","62,562.96","72,770.30","78,626.84","80,663.23","80,242.72","80,484.95","81,165.16","83,070.81","84,266.43","86,216.14","84,843.93","83,073.54","79,991.05","78,719.20","77,935.65","77,449.20","78,337.92","76,832.91","75,985.96","76,414.61","77,172.68","79,855.88"
171,"4,792.00","6,565.43","8,995.18","12,238.40","16,570.93","22,393.94","29,586.07","38,728.73","48,349.63","57,849.97","67,585.68","75,570.77","81,707.24","88,007.02","90,530.47","92,884.49","92,271.50","92,519.71","90,713.56","89,819.38","85,811.50","85,968.37","82,119.31","81,349.39","79,957.27","80,581.35","82,622.37","85,600.99","85,371.68","86,245.09","86,300.42"
172,"4,792.00","6,569.63","9,006.69","12,263.01","16,571.12","22,255.82","29,558.33","38,841.52","49,254.81","58,366.87","69,317.82","74,989.35","82,080.55","83,250.12","86,155.33","84,303.41","85,992.88","84,190.55","83,332.16","83,406.12","80,371.76","81,653.56","82,660.96","83,518.52","84,755.85","82,962.36","83,663.92","83,908.92","86,808.48","85,984.38","88,942.77"
173,"4,792.00","6,571.76","9,012.53","12,232.73","16,562.26","22,185.88","29,615.23","38,846.93","49,376.44","59,639.23","67,798.08","74,200.78","80,125.06","82,892.02","84,448.34","86,655.02","87,255.32","87,985.86","90,056.03","89,830.13","91,360.11","92,564.75","92,143.12","92,172.55","90,913.97","90,302.06","91,159.05","92,358.35","94,150.90","91,827.89","89,946.30"
174,"4,792.00","6,572.60","9,014.83","12,293.34","16,593.68","22,253.49","29,757.52","38,346.53","49,368.32","58,186.41","66,875.76","72,746.96","77,523.86","79,553.20","83,958.46","84,922.00","85,247.36","84,629.28","83,664.66","83,380.51","82,228.78","84,169.36","84,427.50","85,335.52","84,178.97","84,334.11","82,139.77","80,657.98","79,404.49","79,334.02","78,418.97"
175,"4,792.00","6,569.40","9,006.06","12,289.10","16,548.87","22,334.51","29,462.39","38,339.02","47,083.81","56,005.52","65,107.02","73,987.48","81,656.40","88,276.70","91,807.60","94,046.23","94,663.56","93,156.79","91,548.59","86,901.84","85,491.16","81,344.10","81,606.89","80,659.93","80,849.13","81,581.60","83,059.50","83,878.85","86,095.47","84,729.22","84,534.29"
176,"4,792.00","6,570.96","9,010.34","12,247.02","16,651.20","22,198.03","29,298.03","37,283.94","46,723.83","55,763.24","66,668.69","74,525.69","82,202.80","84,261.39","86,986.64","85,162.27","84,067.49","84,481.37","82,224.55","85,250.29","86,043.10","85,053.67","88,183.00","88,401.78","91,345.83","93,671.34","93,850.92","90,376.17","90,587.35","84,855.59","86,852.02"
177,"4,792.00","6,543.54","8,935.28","12,212.84","16,444.43","22,136.42","29,296.04","38,741.67","48,092.23","58,906.78","66,455.33","75,134.87","77,460.64","83,772.87","85,610.59","87,102.45","86,721.89","85,892.64","85,285.18","86,746.53","89,287.13","90,188.30","92,814.00","93,362.78","90,711.74","90,263.80","87,832.72","85,479.20","86,885.76","87,084.03","85,302.07"
178,"4,792.00","6,555.81","8,968.83","12,227.05","16,586.81","22,209.75","29,642.18","38,333.64","48,206.38","57,274.75","66,201.81","73,579.58","80,257.47","85,373.50","89,261.95","88,264.56","89,192.96","87,011.91","87,190.40","84,702.56","85,225.44","83,869.54","83,689.01","85,632.54","83,629.65","85,106.90","84,104.21","85,838.45","86,960.08","89,734.95","89,858.26"
179,"4,792.00","6,550.10","8,953.21","12,234.39","16,547.07","22,214.09","29,333.30","37,908.93","47,466.83","56,846.92","67,893.85","78,139.90","86,217.08","89,055.46","88,740.75","89,067.94","88,287.43","90,468.01","91,155.76","88,831.83","86,625.27","85,309.12","84,964.31","83,796.35","86,609.98","83,018.54","84,521.28","83,008.59","82,313.54","83,649.93","84,722.92"
180,"4,792.00","6,535.36","8,912.95","12,175.58","16,554.97","22,186.09","29,390.50","38,575.96","47,758.47","58,732.26","66,919.08","74,569.76","78,972.97","82,770.99","84,790.48","86,862.20","85,853.30","83,857.06","83,915.41","81,110.81","79,955.50","81,536.26","79,945.42","82,603.83","84,753.11","87,332.65","90,432.29","93,324.77","92,745.20","90,130.49","87,531.26"
181,"4,792.00","6,570.90","9,010.18","12,279.01","16,647.42","22,446.76","29,844.97","39,379.91","50,066.90","60,885.43","71,470.03","79,752.98","86,214.49","87,541.55","88,944.09","88,787.76","88,810.32","90,694.62","91,016.72","88,174.39","87,003.69","84,092.16","84,449.92","85,810.23","87,390.33","88,762.10","90,759.19","89,743.99","92,357.89","90,929.38","91,294.02"
182,"4,792.00","6,556.99","8,972.07","12,188.92","16,505.86","22,087.63","29,465.68","38,510.53","49,230.14","60,085.47","69,630.71","78,314.77","81,830.57","83,851.94","86,450.66","82,936.38","83,380.09","83,303.78","83,999.27","86,826.54","86,447.56","88,614.16","88,920.04","87,573.48","87,780.92","86,721.96","87,385.02","87,614.62","85,879.06","86,999.44","82,243.11"
183,"4,792.00","6,566.48","8,998.06","12,252.35","16,598.62","22,233.20","29,254.66","37,971.84","47,290.64","55,967.34","64,414.24","70,791.65","74,940.10","79,219.89","82,962.34","85,474.92","85,137.40","84,380.12","81,792.27","80,491.41","77,833.87","77,309.81","78,433.66","79,058.54","81,358.71","82,686.91","83,348.22","84,232.12","86,661.48","85,481.18","88,811.41"
184,"4,792.00","6,573.26","9,016.64","12,323.14","16,737.88","22,430.79","29,685.58","39,037.70","48,812.30","60,464.64","71,190.44","80,060.12","87,710.89","92,506.02","94,238.24","93,695.58","94,343.48","91,437.39","91,743.61","90,444.98","88,378.07","86,742.35","84,343.27","83,247.34","83,609.82","83,613.74","86,103.00","86,829.63","88,577.00","87,451.65","84,600.66"
185,"4,792.00","6,568.35","9,003.19","12,215.23","16,551.16","22,121.69","29,477.60","37,626.25","47,004.95","55,933.96","62,661.09","71,646.60","77,117.77","83,305.10","88,222.94","92,462.94","95,453.32","97,754.68","98,965.00","98,345.22","95,065.29","92,638.99","86,331.81","83,294.42","81,697.06","82,187.71","80,745.21","80,242.65","77,973.60","77,971.06","76,983.51"
186,"4,792.00","6,573.26","9,016.65","12,314.51","16,674.61","22,535.69","30,111.54","39,488.61","49,952.84","60,544.86","70,202.47","78,867.78","87,231.14","92,334.62","96,819.60","95,265.46","94,280.85","89,690.09","89,295.28","85,392.83","85,242.38","84,421.20","82,456.12","83,359.29","83,440.65","81,566.68","82,100.47","80,073.23","77,934.84","76,388.66","76,727.20"
187,"4,792.00","6,567.53","9,000.92","12,255.89","16,545.14","22,166.09","29,353.08","38,486.13","48,325.83","59,112.87","69,289.05","77,059.44","83,132.37","87,974.67","90,744.04","93,208.35","94,424.26","95,891.90","92,494.72","89,564.08","87,661.84","86,397.64","85,575.75","85,058.54","85,270.50","82,586.23","83,931.49","83,839.89","84,714.49","84,972.25","83,377.52"
188,"4,792.00","6,541.14","8,928.74","12,125.06","16,458.90","22,017.87","29,316.70","38,083.45","48,182.56","58,702.17","67,337.74","73,770.58","78,897.19","80,753.65","84,411.63","86,686.18","87,456.68","90,105.35","91,285.16","90,002.69","91,613.85","89,327.36","87,868.66","84,895.01","85,381.01","83,269.08","82,822.75","83,980.85","84,061.61","82,704.61","81,288.15"
189,"4,792.00","6,562.25","8,986.47","12,186.61","16,551.07","22,201.31","29,506.75","38,712.97","49,203.29","60,463.05","72,037.38","80,328.56","88,273.40","93,009.21","92,653.93","93,107.26","88,030.00","87,542.78","86,555.73","88,567.40","89,060.91","88,341.29","87,981.01","87,370.56","85,570.36","87,310.12","86,440.96","88,059.04","89,779.86","91,409.53","94,052.78"
190,"4,792.00","6,555.68","8,968.47","12,255.24","16,665.60","22,462.09","29,534.23","39,031.46","47,671.04","58,314.03","67,620.52","74,436.86","82,152.73","85,187.30","89,929.42","92,638.78","95,639.04","97,558.67","97,963.66","96,549.23","95,704.88","92,864.70","91,184.83","90,665.56","91,037.97","89,535.41","87,275.84","86,590.30","84,708.14","85,268.32","87,337.04"
191,"4,792.00","6,542.10","8,931.35","12,186.37","16,398.75","22,115.09","29,449.30","38,914.14","48,929.53","60,447.33","69,727.28","79,452.72","83,205.20","88,480.70","86,080.74","88,071.90","88,022.73","88,720.31","89,412.95","89,385.24","85,806.94","82,664.80","82,102.10","81,795.99","82,735.78","84,899.25","84,919.49","83,371.71","84,347.56","81,823.37","83,746.68"
192,"4,792.00","6,558.25","8,975.52","12,233.62","16,520.19","22,247.80","29,815.88","39,050.97","50,351.75","59,329.07","68,261.73","75,287.02","80,520.82","83,278.43","85,862.63","84,147.72","85,076.82","83,165.46","84,357.57","83,139.43","84,303.64","83,801.48","83,605.00","84,632.48","84,340.10","83,290.43","81,665.51","81,520.83","81,693.02","84,554.46","86,702.30"
193,"4,792.00","6,554.73","8,965.88","12,241.23","16,647.03","22,377.44","29,840.41","39,204.27","49,408.67","59,827.45","69,806.94","78,834.23","87,213.10","93,180.29","96,194.61","96,304.02","94,770.89","89,841.11","89,043.17","87,512.23","86,259.41","84,305.50","82,453.33","79,344.12","78,856.39","76,606.51","75,219.39","74,855.62","75,398.44","75,428.64","78,487.55"
194,"4,792.00","6,561.72","8,985.00","12,256.66","16,642.99","22,325.62","29,572.35","38,988.25","49,152.50","59,614.57","70,947.50","77,627.67","83,767.06","87,757.54","87,076.53","85,225.86","82,731.29","82,336.80","81,470.95","82,178.27","80,751.64","80,460.54","77,926.35","76,625.20","74,302.88","74,580.27","75,699.38","77,499.31","81,426.49","83,095.59","85,417.91"
195,"4,792.00","6,545.90","8,941.75","12,135.68","16,393.23","21,978.40","29,215.82","38,517.25","48,559.37","59,896.05","70,712.11","79,995.03","88,779.92","93,294.17","95,620.81","93,770.74","90,550.94","86,595.73","83,575.64","82,483.22","82,364.40","81,568.40","80,305.46","79,388.15","77,842.38","78,620.66","79,297.10","82,418.25","83,954.64","85,412.74","84,820.39"
196,"4,792.00","6,564.70","8,993.18","12,279.68","16,584.28","22,388.76","29,755.65","38,673.96","48,387.69","56,268.62","64,716.19","71,413.89","77,461.32","84,073.12","87,314.34","90,784.40","90,637.50","87,840.24","87,887.44","85,378.38","85,255.45","84,965.64","84,328.40","82,384.60","83,369.10","80,626.99","79,294.50","78,655.17","75,651.58","77,529.50","79,202.33"
197,"4,792.00","6,547.37","8,945.75","12,222.26","16,619.69","22,352.29","29,596.84","39,048.49","49,236.14","60,766.50","70,560.15","79,299.80","85,370.40","86,474.44","90,819.74","90,713.10","92,532.21","90,050.23","86,568.41","83,136.71","81,571.17","80,562.94","79,966.60","78,871.54","78,316.19","77,960.98","78,659.43","80,936.00","80,936.07","81,788.13","81,930.84"
198,"4,792.00","6,546.72","8,943.97","12,156.25","16,369.06","22,115.14","29,336.10","38,064.19","48,147.25","57,738.92","67,532.64","76,570.59","83,574.58","86,740.51","89,491.90","88,317.24","88,305.15","85,662.31","83,380.16","83,527.18","82,278.21","83,166.36","82,546.63","80,391.85","80,641.24","80,795.47","83,496.67","85,927.66","85,986.80","88,223.38","88,986.27"
199,"4,792.00","6,560.70","8,982.21","12,255.45","16,657.75","22,449.37","30,068.17","39,558.55","50,980.61","61,630.96","70,317.02","78,397.34","82,451.95","85,770.62","88,343.79","90,243.92","91,214.73","90,492.07","90,424.81","85,472.54","83,579.68","82,996.59","79,893.51","80,771.14","80,244.87","81,903.81","84,434.01","87,144.41","90,571.51","90,789.19","91,693.89"
200,"4,792.00","6,561.50","8,984.41","12,246.79","16,546.06","22,292.58","29,621.36","38,817.85","49,303.47","58,568.79","68,927.37","76,205.34","83,542.44","88,891.74","93,925.27","96,323.69","96,466.95","96,595.16","92,487.16","88,147.41","84,206.43","79,782.06","77,500.13","78,166.89","76,944.52","78,088.71","77,446.29","79,510.87","80,779.02","83,821.34","85,671.97"
201,"4,792.00","6,566.74","8,998.77","12,225.60","16,489.23","22,086.57","29,432.47","38,668.24","49,331.39","59,798.26","71,170.14","79,022.19","84,420.89","86,256.73","86,841.49","85,996.99","85,432.41","85,794.56","85,409.10","84,626.77","85,829.52","83,137.46","85,293.50","84,194.35","86,548.77","89,053.89","90,341.37","89,297.77","87,546.95","84,513.24","82,524.06"
202,"4,792.00","6,566.15","8,997.16","12,246.22","16,616.18","22,262.23","29,751.68","38,442.76","48,411.24","57,767.32","66,337.36","73,237.85","80,758.50","85,179.91","89,258.97","90,388.19","91,877.30","90,310.36","91,680.85","89,627.87","87,779.67","83,546.18","79,237.53","75,214.07","73,739.58","73,997.24","76,121.23","80,250.21","83,208.98","86,846.80","88,744.78"
203,"4,792.00","6,564.60","8,992.91","12,260.61","16,546.83","22,337.38","29,533.11","38,728.77","48,103.17","58,252.63","66,694.74","73,770.75","78,473.47","79,579.37","79,393.23","79,171.46","79,416.82","81,402.71","84,478.13","87,208.88","89,030.56","89,890.53","89,596.22","89,747.87","87,678.70","87,026.19","87,156.38","87,617.60","89,296.48","90,827.26","88,904.31"
204,"4,792.00","6,565.09","8,994.24","12,220.10","16,619.96","22,182.12","29,298.64","37,372.36","46,914.56","55,096.73","65,321.11","73,470.98","80,120.71","84,780.71","89,157.12","86,903.30","89,775.67","88,155.45","89,385.31","88,163.65","85,532.99","84,923.56","80,958.22","81,080.40","80,491.53","79,084.08","81,795.05","83,083.53","86,831.57","87,629.20","90,780.97"
205,"4,792.00","6,552.20","8,958.95","12,190.52","16,541.70","22,241.16","29,362.94","38,320.66","47,926.99","58,033.51","68,051.07","75,204.58","79,831.86","81,110.80","81,303.84","82,742.65","81,714.31","82,992.09","84,057.42","86,456.15","89,074.25","91,949.52","92,382.95","93,181.86","91,155.63","89,461.42","88,575.38","88,895.77","89,537.23","92,349.11","91,382.20"
206,"4,792.00","6,569.75","9,007.01","12,296.60","16,722.45","22,585.40","29,737.50","39,277.41","47,790.67","57,915.57","66,348.78","73,291.80","81,229.26","87,092.02","88,713.80","92,546.02","90,475.24","88,437.19","86,852.80","82,612.78","83,246.29","80,679.01","82,367.74","81,071.63","80,545.24","80,772.06","82,047.55","81,537.99","81,509.33","82,500.90","81,782.33"
207,"4,792.00","6,569.08","9,005.19","12,296.57","16,725.25","22,335.74","29,870.42","38,624.04","48,640.02","59,676.05","69,061.77","78,516.19","84,070.36","87,134.94","86,609.52","87,684.09","87,133.13","87,413.46","88,891.95","89,540.60","92,137.55","94,335.62","96,502.48","93,801.45","92,689.92","86,176.20","84,081.93","82,453.46","83,222.05","82,587.36","85,009.85"
208,"4,792.00","6,565.04","8,994.12","12,289.69","16,669.70","22,276.23","29,347.83","37,608.45","46,957.70","56,135.11","65,865.30","75,410.55","82,652.33","85,980.55","86,816.48","85,387.39","83,918.93","84,114.99","84,606.35","87,156.40","87,346.87","87,571.26","85,567.66","84,978.34","85,028.31","85,363.44","84,525.25","84,965.33","84,786.37","85,225.04","87,272.91"
209,"4,792.00","6,546.70","8,943.92","12,153.14","16,449.05","22,072.79","29,048.40","37,600.49","46,052.54","55,258.82","63,406.69","71,400.86","78,606.85","80,462.67","84,693.45","85,066.12","87,062.27","89,648.41","89,801.71","88,953.16","87,557.05","86,299.53","87,192.76","87,714.81","86,338.79","88,196.23","85,350.16","86,747.91","84,341.07","83,981.40","84,679.24"
